,ID,C_Environment,C_Condition,C_Cycle,C_Trial,C_QuestionNum,C_Question,C_Answer,C_AssignedWait,C_Response,C_QPresent,C_StartRT,C_WaitStart,C_WaitTime,C_TrialLength,C_CycleLength,C_Jitter,C_AverageWait,MC_Correct
272,32,2,2,1,1,14,A conference on safety held at Columbia University's Teacher College in 1939 led to what change? ,School buses were painted yellow,6.121,NA,0.035,NA,NA,NA,NA,602.283829,2.143090555,9.802583333,NA
273,32,2,2,1,2,6,Project Kansas was the name for the top secret 1985 attempt to revamp what product?,Coca-Cola,34.066,W,13.266,6.792,7.325,34.071,45.414,602.283829,3.297173342,9.802583333,1
274,32,2,2,1,3,877,"Which mammal is the world's smallest, weighing less than a penny? ",Bumblebee bat,3.803,W,62.02,4.628,5.155,3.807,12.978,602.283829,1.47307112,9.802583333,1
275,32,2,2,1,4,931,Who is pictured on a US Purple Heart medal? ,George Washington,1.711,W,76.503,4.088,4.622,1.715,10.357,602.283829,2.808476687,9.802583333,1
276,32,2,2,1,5,901,What was the only one of his sculptures that Michelangelo signed?  ,The Pieta,29.365,W,89.717,3.548,4.071,29.369,37.455,602.283829,3.618905879,9.802583333,0
277,32,2,2,1,6,364,"What bulb vegetable is traditionally worn on Saint David's Day, as it is a national symbol of Wales?",The Leek ,1.4,W,130.829,6.026,6.557,1.405,11.977,602.283829,1.651989181,9.802583333,0
278,32,2,2,1,7,34,Alan Shepard was scheduled to command the ill-fated Apollo 13 before switching missions with what astronaut?,Jim Lovell,3.522,K,144.493,6.57,7.109,0.447,8.076,602.283829,1.945096435,9.802583333,1
279,32,2,2,1,8,747,What was the name of the American actress who was first to appear on a postage stamp?  ,Grace Kelly ,17.28,S,154.555,5.125,5.657,7.725,13.899,602.283829,2.80925651,9.802583333,NA
280,32,2,2,1,9,85,Greeks consider which day of the week the unluckiest because it is the day that Constantinople fell in 1453? ,Tuesday,8.96,K,171.307,5.012,5.539,0.289,6.34,602.283829,3.148396544,9.802583333,1
281,32,2,2,1,10,925,Who invented condensed milk in 1856? ,"Gail Borden, Jr. ",0.635,W,180.834,4.389,4.922,0.639,9.574,602.283829,1.8505907,9.802583333,0
282,32,2,2,1,11,220,Songbird is a book about what jazz singer's remarkable posthumous career? ,Eva Cassidy ,29.365,K,192.297,5.414,5.94,1.89,8.343,602.283829,2.553437911,9.802583333,0
283,32,2,2,1,12,962,Who was the last British Monarch to also be an emperor?  ,George VI,5.627,W,203.242,3.957,4.488,5.631,14.129,602.283829,1.241813691,9.802583333,0
284,32,2,2,1,13,914,"Who did fisherman Donato Dalrymple rescue from the water on Thanksgiving Day, 1999?",Elian Gonzalez ,0.015,W,218.642,5.685,6.224,0.018,10.259,602.283829,1.905997367,9.802583333,0
285,32,2,2,1,14,473,What city's harbor is overlooked by Victoria Peak? ,Hong Kong ,28.232,S,230.839,5.512,6.04,10.368,16.919,602.283829,2.633256086,9.802583333,NA
286,32,2,2,1,15,18,About half of the population of what Pacific island has the surname Christian?,Pitcairn Island,16.588,W,250.444,5.379,5.906,16.591,26.509,602.283829,3.897366219,9.802583333,0
287,32,2,2,1,16,948,"Who solves crimes in Bayport, located on Barmet Bay? ",The Hardy Boys ,4.236,W,280.878,5.961,6.49,4.239,14.746,602.283829,1.530122982,9.802583333,0
288,32,2,2,1,17,208,"Pink Floyd's ""Chapter 24"" was inspired by what literary work?",The I Ching,0.167,W,297.196,3.907,4.438,0.17,8.622,602.283829,1.198044056,9.802583333,0
289,32,2,2,1,18,973,Who won the Nobel Peace Prize in 1964? ,Martin Luther King Jr. ,6.714,K,307.056,2.719,3.254,4.048,7.809,602.283829,1.926155974,9.802583333,1
290,32,2,2,1,19,185,Mohammed Khatami is both a former national librarian and a former president of what nation?,Iran,88.507,S,316.817,7.47,7.991,8.046,16.552,602.283829,1.580537149,9.802583333,NA
291,32,2,2,1,20,812,Where did the Beagle 2 crash and disappear on Christmas Day 2003?  ,Mars,5.517,W,334.987,3.876,4.405,5.52,13.929,602.283829,2.722172926,9.802583333,1
292,32,2,2,1,21,192,"Of the world's seven most populous islands, what's the only one not in Asia? ",Great Britain,13.861,K,351.672,7.655,8.192,13.471,22.176,602.283829,1.577443599,9.802583333,0
293,32,2,2,1,22,710,What U.S. state's civil law is most closely based on the Napoleonic Code?  ,Louisiana's,0.318,W,375.482,7.757,8.292,0.321,12.626,602.283829,1.164521108,9.802583333,1
294,32,2,2,1,23,670,What spice is named for the capital of French Guiana? ,Cayenne pepper ,35.16,S,389.314,5.685,6.223,18.55,25.294,602.283829,1.699027688,9.802583333,NA
295,32,2,2,1,24,332,What are the bumps on the tongue that carry the taste buds called? ,Papillae,4.768,W,416.344,4.559,5.09,4.771,13.879,602.283829,2.010682155,9.802583333,1
296,32,2,2,1,25,158,"In what layer of the Earth's atmosphere is Antarctica's famed ""ozone hole""? ",Stratosphere,3.499,W,432.261,7.178,7.708,3.502,15.23,602.283829,2.920803715,9.802583333,1
297,32,2,2,1,26,769,"What word comes to us from the Greek for ""thick-skinned""?  ",Pachyderm,10.129,W,450.448,4.071,4.605,10.132,18.75,602.283829,1.058818901,9.802583333,1
298,32,2,2,1,27,203,"One in every 2,000 babies is born with what? ",Teeth,21.016,W,470.287,4.912,5.438,21.018,30.464,602.283829,2.336030871,9.802583333,1
299,32,2,2,1,28,223,"Student protests in which capital city inspired John Lennon's song  ""Revolution""? ",Paris,1.542,K,503.123,5.356,5.89,1.434,7.842,602.283829,3.492562892,9.802583333,0
300,32,2,2,1,29,498,What is an osier?,A willow twig ,17.493,S,514.485,2.514,3.037,10.966,14.517,602.283829,2.538065613,9.802583333,NA
301,32,2,2,1,30,414,What did the letter Q originally stand for in NASDAQ?  ,Quotations ,34.066,W,531.571,4.82,5.355,34.069,43.444,602.283829,1.561954808,9.802583333,0
302,32,2,2,1,31,966,Who was the only British Prime Minister to have been assassinated? ,Spencer Perceval ,2.616,W,576.621,6.282,6.808,2.619,13.445,602.283829,3.138506218,9.802583333,1
303,32,2,2,1,32,739,What was the first song ever performed in outer space? ,Happy Birthday,0.635,NA,593.239,NA,NA,NA,NA,602.283829,2.642953607,9.802583333,NA
304,32,1,2,2,33,585,What metal was found in Nevada's famed Comstock Lode?  ,Silver,1.734,W,0.037,5.923,6.457,1.737,12.21,603.4751869,3.918702754,6.61362069,1
305,32,1,2,2,34,69,"During which war was ""The African Queen"" set?",World War I,19.239,W,16.205,2.643,3.17,19.242,26.425,603.4751869,3.698833555,6.61362069,1
306,32,1,2,2,35,571,"What kind of information resource takes its name from a Hawaiian word for ""quick""? ",A wiki,8.409,W,46.371,5.821,6.358,8.412,18.785,603.4751869,1.520970379,6.61362069,1
307,32,1,2,2,36,292,"Though the rest of him lies in Westminster Abbey, what writer's heart is buried near his native Dorchester?",Thomas Hardy,14.818,S,66.711,6.809,7.342,1.515,9.377,603.4751869,1.496972423,6.61362069,NA
308,32,1,2,2,37,698,What element is combined with oxygen to make up the mineral quartz?,Silicon,2.891,K,77.623,4.154,4.689,0.641,5.84,603.4751869,2.754356281,6.61362069,1
309,32,1,2,2,38,212,Robert Hooke coined what scientific term after looking at a piece of cork under a microscope?,Cell,11.698,K,86.266,7.454,7.991,0.302,8.809,603.4751869,2.941822583,6.61362069,1
